dia,temperatura_C,ventas_helados,ahogamientos
1,22.8,211.0,2
2,17.9,200.0,3
3,12.5,160.0,1
4,27.0,287.0,7
5,24.9,239.0,3
6,13.4,111.0,3
7,21.4,223.0,2
8,30.9,293.0,3
9,19.2,182.0,3
10,31.4,321.0,3
11,27.8,264.0,2
12,15.3,176.0,2
13,16.7,184.0,2
14,32.1,319.0,5
15,6.6,119.0,0
16,24.8,232.0,6
17,17.1,196.0,2
18,14.3,187.0,3
19,26.6,283.0,2
20,30.1,310.0,4
21,28.9,231.0,5
22,13.2,140.0,2
23,32.0,303.0,2
24,27.5,264.0,5
25,19.0,185.0,3
26,33.5,318.0,6
27,26.2,323.0,2
28,19.4,194.0,3
29,12.7,144.0,1
30,34.0,344.0,6
31,19.6,167.0,2
32,30.0,267.0,6
33,27.2,238.0,7
34,18.3,197.0,5
35,28.2,251.0,4
36,28.5,269.0,2
37,29.5,253.0,2
38,15.6,178.0,3
39,24.2,280.0,3
40,28.0,269.0,2
41,29.4,272.0,6
42,5.1,89.0,1
43,13.6,153.0,2
44,11.9,167.0,3
45,17.9,232.0,3
46,33.0,287.0,8
47,28.7,286.0,4
48,12.1,199.0,5
49,24.1,259.0,3
50,30.0,258.0,7
51,32.1,339.0,1
52,12.0,128.0,0
53,23.7,222.0,5
54,27.2,258.0,2
55,15.1,148.0,2
56,30.6,297.0,5
57,19.5,211.0,4
58,20.2,226.0,4
59,10.7,143.0,1
60,23.1,241.0,5
61,13.7,166.0,1
62,25.1,272.0,1
63,24.8,256.0,4
64,10.8,104.0,0
65,25.0,218.0,1
66,21.6,204.0,3
67,21.8,218.0,3
68,25.5,258.0,6
69,6.3,40.0,0
70,12.3,145.0,1
71,19.0,213.0,1
72,6.3,119.0,1
73,19.7,199.0,2
74,17.0,175.0,3
75,27.5,280.0,4
76,29.0,307.0,10
77,21.3,240.0,2
78,32.1,305.0,6
79,14.7,175.0,2
80,19.9,219.0,5
81,18.7,184.0,2
82,18.0,161.0,3
83,15.0,142.0,1
84,9.5,135.0,3
85,11.6,159.0,2
86,33.4,282.0,4
87,5.1,116.0,3
88,30.2,299.0,4
89,10.0,126.0,2
90,11.6,129.0,2
91,21.3,218.0,4
92,27.1,243.0,4
93,25.3,288.0,2
94,15.7,137.0,2
95,6.5,100.0,1
96,29.9,266.0,3
97,5.2,109.0,0
98,5.7,46.0,0
99,30.9,275.0,7
100,22.8,215.0,1
101,14.8,201.0,2
102,6.7,121.0,1
103,20.0,224.0,2
104,31.4,278.0,7
105,19.9,243.0,3
